country,year,growth,unem,capmob,trade
United Kingdom,1973,7.6,2.7,-1,42.86721
United Kingdom,1974,-1.0,2.6,-1,48.8228
United Kingdom,1975,-0.7,4.0,-1,59.62837
United Kingdom,1976,3.8,5.5,-1,52.51037
United Kingdom,1977,1.0,5.8,-1,56.87488000000001
United Kingdom,1978,3.6,5.7,-1,59.06499
United Kingdom,1979,2.2,5.3,-1,55.53134
United Kingdom,1980,-2.3,7.0,0,55.78893000000001
United Kingdom,1981,-1.4,10.5,0,52.5135
United Kingdom,1982,1.5,11.2,0,50.54586
United Kingdom,1983,3.4,11.7,0,51.03159
United Kingdom,1984,1.8,11.7,0,52.77322
United Kingdom,1985,3.7,11.2,0,58.07664000000001
United Kingdom,1986,3.5,11.2,0,57.58285
United Kingdom,1987,4.7,10.2,0,53.52335
United Kingdom,1988,4.1,8.3,0,52.65015
United Kingdom,1989,2.3,6.1140732,0,50.248182
United Kingdom,1990,0.8,5.4717446,0,52.35597
Netherlands,1966,1.8770983,1.0,-2,87.05895
Netherlands,1967,2.2550651000000004,2.0,-2,85.44972
Netherlands,1968,2.3,1.9,-3,82.56051
Netherlands,1969,6.4,1.4,-2,82.63105999999998
Netherlands,1970,6.7,1.1,-2,86.03879
Netherlands,1971,4.2,1.6,-2,91.87628
Netherlands,1972,3.3,2.8,-1,91.26911
Netherlands,1973,4.7,2.8,-1,87.19008000000002
Netherlands,1974,4.0,3.5,-1,91.15795
Netherlands,1975,-0.1,5.3,-1,104.9757
Netherlands,1976,5.1,5.6,-1,96.28062
Netherlands,1977,2.3,5.5,-1,98.3404
Netherlands,1978,2.5,5.5,0,93.89299
Netherlands,1979,2.4,5.6,0,89.75119000000002
Netherlands,1980,0.9,6.0,0,98.66754
Netherlands,1981,-0.7,8.9,0,105.5502
Netherlands,1982,-1.4,10.3,0,112.4727
Netherlands,1983,0.9,12.3,0,111.3337
Netherlands,1984,1.7,12.3,0,112.8105
Netherlands,1985,2.6,10.2,0,119.0031
Netherlands,1986,2.0,10.0,0,122.6721
Netherlands,1987,1.1,10.0,0,104.1273
Netherlands,1988,2.7,10.1,0,102.312
Netherlands,1989,4.0,8.31223,0,105.057288
Netherlands,1990,3.9,7.5087311,0,111.762226
Belgium,1966,3.1622589,2.7,-2,73.61844
Belgium,1967,3.8753976,3.7,-2,74.54204
Belgium,1968,4.2,4.5,-2,73.58559
Belgium,1969,6.6,3.6,-1,78.44779
Belgium,1970,6.4,2.9,-1,84.37925
Belgium,1971,3.7,2.9,-1,86.75947
Belgium,1972,5.3,3.4,0,86.10609000000002
Belgium,1973,5.9,3.6,0,85.15666
Belgium,1974,4.1,4.0,0,94.41487
Belgium,1975,-1.5,6.7,0,108.1774
Belgium,1976,5.3,6.8,0,93.60921
Belgium,1977,0.4,7.8,0,98.26746
Belgium,1978,3.0,8.4,0,107.1681
Belgium,1979,2.1,8.7,0,104.3904
Belgium,1980,4.0,9.4,0,115.2146
Belgium,1981,-1.5,10.0,0,121.3896
Belgium,1982,1.5,11.7,0,130.5714
Belgium,1983,-0.1,12.9,0,138.4857
Belgium,1984,1.4,13.0,0,137.1896
Belgium,1985,0.9,12.0,0,146.0202
Belgium,1986,1.6,11.3,0,141.2755
Belgium,1987,1.9,11.1,0,127.2102
Belgium,1988,4.3,10.0,0,126.9076
Belgium,1989,3.6,9.2664093,0,133.281122
Belgium,1990,3.8,8.734146899999999,0,142.68608400000005
France,1966,5.2141824,0.7,0,24.30256
France,1967,4.6882107,0.9,0,25.00878
France,1968,4.3,1.2,0,24.85014
France,1969,7.0,1.0,-1,25.40206
France,1970,5.7,1.2,-1,27.82975
France,1971,5.4,1.6,-1,31.51196
France,1972,5.9,2.0,-1,32.18585
France,1973,5.4,2.6,-1,32.61595
France,1974,3.2,2.8,-1,34.76036
France,1975,0.2,4.1,-1,43.20575
France,1976,5.2,4.4,-1,37.32651
France,1977,3.1,4.7,-1,40.42973
France,1978,3.8,5.2,-1,41.56883
France,1979,3.3,5.9,-1,40.2554
France,1980,1.1,6.3,-1,42.54165
France,1981,0.5,7.3,-1,44.89193
France,1982,1.8,8.1,-1,46.89539
France,1983,0.7,8.3,-1,46.22432
France,1984,1.3,9.9,-1,45.69321
France,1985,1.9,10.2,-1,47.64652
France,1986,2.3,10.4,-1,47.21023
France,1987,1.9,10.5,-1,41.62719
France,1988,3.5,9.9,-1,41.46514000000001
France,1989,3.6,9.3791118,-1,42.861233
France,1990,2.6,8.970954699999998,-1,49.667118
West Germany,1966,2.9414163,0.7,0,37.89446
West Germany,1967,-0.1188883,2.1,0,38.81367
West Germany,1968,6.3,1.5,0,39.50642
West Germany,1969,7.8,0.9,0,41.40414000000001
West Germany,1970,6.0,0.7,0,43.06893
West Germany,1971,2.9,0.8,0,43.21042
West Germany,1972,4.2,1.1,0,43.2477
West Germany,1973,4.7,1.2,0,42.76834
West Germany,1974,0.3,2.6,0,44.19636
West Germany,1975,-1.6,4.7,0,52.19484
West Germany,1976,5.4,4.6,0,49.9167
West Germany,1977,3.0,4.5,0,52.59491
West Germany,1978,2.9,4.3,0,52.03534000000001
West Germany,1979,4.2,3.8,0,50.73377
West Germany,1980,1.4,3.8,0,53.40189
West Germany,1981,0.2,5.5,0,57.20418000000001
West Germany,1982,-0.6,7.5,0,61.45247
West Germany,1983,1.2,9.1,0,62.33753000000001
West Germany,1984,2.6,9.1,0,60.67839
West Germany,1985,2.0,9.3,0,64.16871
West Germany,1986,2.3,9.0,0,66.31546999999999
West Germany,1987,1.8,8.9,0,59.98089
West Germany,1988,3.7,8.7,0,58.09554
West Germany,1989,3.2,6.843749000000001,0,59.254416000000006
West Germany,1990,4.7,6.2089887,0,64.47238
Austria,1966,5.6429989,1.7,-2,50.82818
Austria,1967,3.0076867000000003,1.8,-2,51.53986
Austria,1968,4.5,2.0,-2,50.87713
Austria,1969,6.3,1.8,-2,51.62636
Austria,1970,7.1,1.4,-2,55.52404
Austria,1971,5.1,1.2,-2,61.16313
Austria,1972,6.2,1.0,-2,60.62628
Austria,1973,4.9,1.0,-3,60.49547
Austria,1974,3.9,1.1,-1,60.68523
Austria,1975,-0.4,1.7,-1,66.36381
Austria,1976,4.6,1.7,-1,63.06676
Austria,1977,4.4,1.5,-1,66.72645
Austria,1978,0.5,1.8,-1,67.23354
Austria,1979,4.7,1.7,-1,66.62471
Austria,1980,3.0,1.6,-1,71.77694
Austria,1981,-0.1,2.1,-1,75.59992
Austria,1982,1.2,3.1,-1,77.91716
Austria,1983,2.1,3.8,-1,74.13298
Austria,1984,2.0,3.8,-1,73.28623
Austria,1985,2.5,3.6,-1,77.68645
Austria,1986,1.1,3.1,-1,80.93437
Austria,1987,1.9,3.8,-1,72.72447
Austria,1988,4.2,3.6,-1,70.36277
Austria,1989,3.7,3.1304348,-1,74.421892
Austria,1990,4.9,3.2331254,-1,79.47292900000002
Italy,1966,5.9849301,5.9,-1,26.93998
Italy,1967,7.1776258,5.4,-1,28.23712
Italy,1968,6.5,5.7,-1,28.7611
Italy,1969,6.1,5.7,-1,29.41873
Italy,1970,5.3,5.4,-1,31.44462
Italy,1971,1.6,5.4,-1,32.473
Italy,1972,3.2,6.4,-1,32.66676
Italy,1973,7.0,6.4,-1,34.19679
Italy,1974,4.1,5.4,-1,37.14928
Italy,1975,-3.6,5.9,-2,46.89348
Italy,1976,5.9,6.7,-1,43.18141
Italy,1977,1.9,7.2,-2,48.34128
Italy,1978,2.7,7.2,-1,48.47882
Italy,1979,4.9,7.7,-1,47.99013
Italy,1980,3.9,7.6,-1,51.30311
Italy,1981,0.2,8.4,-1,50.45122
Italy,1982,-0.5,9.1,-2,46.008
Italy,1983,-0.2,9.9,-1,44.53123
Italy,1984,2.8,10.1,0,41.13525
Italy,1985,2.6,10.1,0,43.64893
Italy,1986,2.5,11.1,0,43.84961
Italy,1987,3.0,12.0,-1,37.01633
Italy,1988,3.9,12.0,-1,36.8253
Italy,1989,3.0,11.8115106,-1,38.838481
Italy,1990,2.0,10.7891162,-1,38.649988
Finland,1966,2.3721416,1.5,-3,42.16415
Finland,1967,2.1688613,2.9,-3,41.39525
Finland,1968,2.5,3.8,-2,40.35631
Finland,1969,9.6,2.8,-2,43.75069000000001
Finland,1970,7.9,1.9,-2,47.38203
Finland,1971,2.1,2.2,-2,52.59821
Finland,1972,7.6,2.5,-2,50.48052
Finland,1973,6.7,2.3,-3,50.74626
Finland,1974,3.0,1.7,-3,51.49655
Finland,1975,1.2,2.2,-3,58.73076999999999
Finland,1976,0.3,3.8,-4,53.37948000000001
Finland,1977,0.2,5.8,-3,52.09085
Finland,1978,2.6,7.2,-3,55.15342
Finland,1979,7.4,5.9,-3,55.9532
Finland,1980,5.6,4.6,-3,61.35039
Finland,1981,1.8,5.1,-3,66.6819
Finland,1982,3.0,5.4,-3,65.71604
Finland,1983,2.9,5.4,-3,61.49152
Finland,1984,3.0,5.2,-3,60.64693000000001
Finland,1985,3.3,5.0,-2,58.25233000000001
Finland,1986,2.1,5.4,-2,57.31776
Finland,1987,4.0,5.1,-3,51.93765
Finland,1988,5.2,4.6,-3,50.27617
Finland,1989,5.4,3.4456059000000003,-3,49.786669
Finland,1990,0.4,3.5541195,-3,48.981816
Sweden,1966,2.0909698,1.4,-2,44.78557
Sweden,1967,3.3656264,1.7,-2,43.72852
Sweden,1968,3.6,2.0,-2,42.46237
Sweden,1969,5.0,1.7,-2,43.51757
Sweden,1970,6.5,1.4,-2,46.27839
Sweden,1971,0.9,2.0,-2,48.77312
Sweden,1972,2.3,2.0,-2,47.52033
Sweden,1973,4.0,1.9,-2,46.86441
Sweden,1974,3.2,1.5,-1,52.04547
Sweden,1975,2.6,1.4,-1,65.1786
Sweden,1976,1.1,1.2,-1,56.49882
Sweden,1977,-1.6,1.2,-1,56.97875
Sweden,1978,1.8,1.6,-1,56.4408
Sweden,1979,3.8,1.5,-1,55.41761999999999
Sweden,1980,1.7,1.4,-1,61.8139
Sweden,1981,-0.3,2.5,-1,61.51982
Sweden,1982,0.8,3.1,-1,60.16333
Sweden,1983,2.4,3.5,-1,64.76091
Sweden,1984,3.4,3.1,-1,68.5121
Sweden,1985,2.2,2.8,-1,68.25501
Sweden,1986,2.3,2.6,-1,68.22753
Sweden,1987,2.9,1.9,-1,62.7877
Sweden,1988,2.3,1.6,-1,61.83354
Sweden,1989,2.4,0.6847802,-1,63.454899
Sweden,1990,0.6,1.5075377,-1,63.819325
Norway,1966,3.7861464,0.8,-2,82.25381999999998
Norway,1967,6.2568582,0.8,-2,83.08898
Norway,1968,2.3,1.1,-2,85.66164
Norway,1969,6.4,1.0,-2,84.23661
Norway,1970,6.7,0.8,-2,82.44259
Norway,1971,4.6,0.8,-2,84.91699
Norway,1972,5.2,1.7,-2,83.66345
Norway,1973,4.1,1.5,-2,80.62762
Norway,1974,5.2,1.5,-1,87.61421
Norway,1975,4.2,2.3,-1,95.4297
Norway,1976,6.8,1.8,-1,90.33502
Norway,1977,3.6,1.5,-1,91.72334
Norway,1978,4.5,1.7,-1,90.33905
Norway,1979,5.1,2.0,-1,82.75804000000002
Norway,1980,4.2,1.7,-1,85.70865
Norway,1981,0.9,2.0,-1,88.46642
Norway,1982,0.3,2.6,-1,87.5138
Norway,1983,3.9,3.3,-1,85.11059
Norway,1984,3.8,3.1,-1,83.61769
Norway,1985,5.3,2.6,-1,85.50693000000003
Norway,1986,4.2,2.0,-1,85.75997
Norway,1987,3.4,2.1,-1,79.00841
Norway,1988,1.1,3.2,-1,73.38462
Norway,1989,0.4,4.9187935,-1,73.86370500000002
Norway,1990,1.8,5.2287582000000015,-1,79.656174
Denmark,1966,2.7412402,2.3,-3,62.28668
Denmark,1967,3.4212093999999995,2.7,-3,58.78236999999999
Denmark,1968,3.8,5.0,-2,56.86628
Denmark,1969,6.5,3.9,-2,56.77313
Denmark,1970,2.3,2.9,-2,57.00761
Denmark,1971,2.7,3.7,-2,58.80617
Denmark,1972,5.3,3.6,-2,57.03129000000001
Denmark,1973,3.6,2.4,-2,53.59322
Denmark,1974,-0.9,5.2,-1,58.96134
Denmark,1975,-0.7,6.0,-1,66.43666999999999
Denmark,1976,6.5,5.3,-1,61.09859
Denmark,1977,1.6,6.4,-1,62.33729
Denmark,1978,1.5,7.3,-1,61.26526
Denmark,1979,3.5,6.1,-1,57.73387
Denmark,1980,-0.4,6.9,-1,61.31303000000001
Denmark,1981,-0.9,10.3,-1,66.47386
Denmark,1982,3.0,11.0,-1,72.36322
Denmark,1983,2.1,11.4,-1,71.87047
Denmark,1984,3.5,8.5,-1,70.32415
Denmark,1985,4.3,7.3,-1,72.59833
Denmark,1986,3.6,5.5,-1,72.94829
Denmark,1987,-0.6,6.9,-1,64.36702
Denmark,1988,-0.2,7.2,-1,61.44821
Denmark,1989,0.8,8.1278222,0,62.47343100000001
Denmark,1990,1.7,8.310439599999999,0,61.443299
Japan,1966,10.6382757,0.9,-2,20.64122
Japan,1967,11.0823408,1.3,-2,20.5948
Japan,1968,12.8,1.2,-2,20.05519
Japan,1969,12.3,1.1,-2,20.08211
Japan,1970,9.8,1.2,-2,20.59826
Japan,1971,4.2,1.2,-1,21.5081
Japan,1972,8.4,1.4,-1,21.95309
Japan,1973,7.9,1.3,-1,20.1664
Japan,1974,-1.2,1.4,-1,21.53925
Japan,1975,2.6,1.9,-1,29.91749
Japan,1976,4.8,2.0,-1,27.42852
Japan,1977,5.3,2.0,-1,28.03661
Japan,1978,5.1,2.2,-1,26.11608
Japan,1979,5.2,2.1,-1,22.00218
Japan,1980,4.4,2.0,0,26.31612
Japan,1981,3.9,2.2,0,31.21532
Japan,1982,2.8,2.4,0,32.51882
Japan,1983,3.2,2.6,0,32.80608
Japan,1984,5.0,2.7,0,29.7358
Japan,1985,4.7,2.6,0,30.6541
Japan,1986,2.5,2.8,0,29.161590000000004
Japan,1987,4.4,2.9,0,21.90987
Japan,1988,5.7,2.5,0,21.71235
Japan,1989,4.7,2.2647528,0,23.128797
Japan,1990,5.2,2.0989975,0,20.000304
